SampleName,Date,Time,SiO2,Al2O3,CaO,MgO,Mn,FeO,P,S,TiO2,K2O,Intensity Scale
----------,----,----,%,%,%,%,%,%,%,%,%,%,%
G000643__87495,11-Feb-2021,06:15:49,0.66,40.1,34.4,9.5,3.3,2.67,8.6,0.07,0.26,0.42,107.12
G000644__87500,11-Feb-2021,07:59:26,0.67,38.7,32.5,10.3,4.6,2.75,9.8,0.06,0.25,0.47,105.48
PADRAO__87503,11-Feb-2021,08:23:36,0.67,39.2,37.0,7.3,5.4,1.94,7.8,0.08,0.32,0.31,105.27
G000645__87504,11-Feb-2021,08:42:42,0.80,43.2,24.1,11.0,4.3,2.77,13.0,0.06,0.30,0.52,104.94
G000646__87507,11-Feb-2021,09:38:32,0.60,38.8,36.0,9.2,4.5,2.77,7.2,0.08,0.31,0.49,106.05
ESCORIA  AF01__87510,11-Feb-2021,10:23:00,0.87,38.4,34.2,9.2,4.3,2.43,9.6,0.07,0.37,0.47,106.36
G000647__87518,11-Feb-2021,14:19:08,0.85,44.8,21.3,10.8,4.2,3.30,13.7,0.06,0.43,0.55,105.12
G000648__87519,11-Feb-2021,15:12:24,0.64,41.6,29.7,11.5,3.3,2.53,10.0,0.07,0.31,0.42,106.96
PADRAO__87522,11-Feb-2021,16:10:44,0.61,39.4,37.0,7.1,5.4,1.98,7.8,0.08,0.31,0.31,105.40
G000649__87525,11-Feb-2021,16:57:06,0.86,43.9,24.6,11.3,4.3,2.82,11.3,0.06,0.45,0.49,106.06
G000650__87528,11-Feb-2021,19:32:54,0.83,41.9,21.7,18.1,3.7,2.32,10.6,0.05,0.38,0.39,103.41
G000651__87530,11-Feb-2021,20:02:22,0.96,40.1,31.6,7.6,4.7,2.68,11.4,0.06,0.47,0.50,104.37
2113__87536,12-Feb-2021,00:19:11,0.67,39.3,37.1,7.0,5.4,2.01,7.9,0.09,0.30,0.30,106.60
G000658__87540,12-Feb-2021,01:12:04,0.64,28.6,50.3,8.9,2.6,2.06,6.3,0.06,0.21,0.35,101.87
G000659__87545,12-Feb-2021,04:28:18,1.02,44.3,26.4,9.5,3.5,2.79,11.7,0.07,0.22,0.39,105.42
G000660__87551,12-Feb-2021,06:21:44,0.60,41.4,24.3,15.7,4.1,2.80,10.2,0.06,0.37,0.47,103.24
G000661__87553,12-Feb-2021,07:18:30,0.60,40.3,27.3,14.4,4.0,2.78,9.9,0.06,0.30,0.45,105.25
PADRAO__87558,12-Feb-2021,08:11:09,0.71,39.3,36.9,7.2,5.4,1.99,7.9,0.09,0.30,0.31,105.19
G000663__87560,12-Feb-2021,09:10:24,0.77,39.7,31.2,11.0,4.5,2.77,9.1,0.07,0.27,0.45,102.81
G000664__87562,12-Feb-2021,10:53:02,0.78,44.4,24.5,10.4,4.4,3.28,11.6,0.07,0.22,0.47,104.65
2113__87573,12-Feb-2021,15:58:27,0.67,39.4,37.1,6.9,5.4,2.01,7.7,0.08,0.33,0.29,105.32
G000XXX__87574,12-Feb-2021,18:25:18,0.63,42.0,27.9,12.0,3.1,2.67,10.8,0.06,0.45,0.39,103.64
G000667__87577,12-Feb-2021,19:36:00,0.72,39.2,31.7,12.2,3.1,2.36,9.9,0.05,0.44,0.38,105.00
G000667_2__87579,12-Feb-2021,19:47:20,0.73,39.1,31.6,12.1,3.2,2.40,10.0,0.05,0.44,0.34,102.64
LD__87583,12-Feb-2021,21:09:11,1.03,42.7,24.8,13.5,4.0,2.26,10.8,0.05,0.41,0.36,106.15
G000669__87584,12-Feb-2021,22:08:26,0.90,36.7,38.8,6.9,4.1,2.41,9.6,0.06,0.36,0.37,102.96
PADRAO__87590,13-Feb-2021,00:14:13,0.63,39.1,37.0,7.3,5.3,1.96,7.9,0.08,0.34,0.33,105.51
G000672__87593,13-Feb-2021,02:55:05,0.82,38.0,36.4,6.8,3.3,2.83,11.1,0.07,0.25,0.40,106.36
G000674__87598,13-Feb-2021,05:18:58,0.99,39.2,34.2,8.2,3.6,2.88,10.3,0.07,0.23,0.39,103.96
G000675__87602,13-Feb-2021,06:23:32,0.85,42.8,29.0,10.0,4.0,3.24,9.3,0.08,0.30,0.44,104.58
2113__87607,13-Feb-2021,08:25:52,0.63,39.2,37.4,6.8,5.4,1.96,7.8,0.08,0.29,0.32,106.34
G000676__87609,13-Feb-2021,09:59:23,0.94,42.9,26.8,11.8,4.3,2.60,10.0,0.07,0.33,0.34,103.91
