SampleName,Date,Time,SiO2,Al2O3,CaO,MgO,Mn,FeO,P,S,TiO2,K2O,Intensity Scale
----------,----,----,%,%,%,%,%,%,%,%,%,%,%
G000XXX__87394,09-Feb-2021,08:27:21,0.38,31.8,47.4,7.2,3.6,2.81,5.9,0.07,0.30,0.49,101.42
G000609__87396,09-Feb-2021,08:56:10,0.50,36.9,37.7,9.6,4.2,3.43,7.0,0.07,0.23,0.48,101.80
G000610__87399,09-Feb-2021,09:56:31,0.68,38.8,32.5,9.2,4.8,3.38,9.6,0.07,0.32,0.56,107.70
G000610_02__87400,09-Feb-2021,10:00:56,0.71,38.7,31.7,9.9,4.7,3.45,10.0,0.07,0.28,0.54,103.84
G000611__87405,09-Feb-2021,13:48:21,0.98,38.2,28.3,10.5,4.7,3.19,13.1,0.05,0.34,0.62,103.33
G000612__87408,09-Feb-2021,15:30:12,1.10,41.0,25.7,10.1,5.1,3.51,12.5,0.06,0.38,0.59,109.48
2113__87411,09-Feb-2021,16:16:08,0.65,39.2,37.1,7.1,5.4,2.03,7.8,0.08,0.34,0.28,105.08
G000613__87413,09-Feb-2021,16:55:38,0.90,39.1,35.7,6.7,3.6,2.86,10.3,0.07,0.27,0.42,104.25
G000614__87416,09-Feb-2021,17:54:38,0.93,40.1,30.0,8.9,4.4,3.31,11.5,0.06,0.30,0.52,105.28
G000615__87419,09-Feb-2021,18:59:32,0.55,43.2,25.3,12.2,4.8,3.21,10.0,0.07,0.28,0.41,106.72
G000618__87432,09-Feb-2021,22:44:02,0.65,35.7,36.6,9.6,4.0,3.01,9.6,0.07,0.31,0.47,103.45
G000619__87434,09-Feb-2021,23:52:57,0.58,32.0,45.7,7.4,3.1,2.60,7.9,0.07,0.25,0.40,102.22
PADRAO__87436,10-Feb-2021,00:04:47,0.66,39.2,36.9,7.4,5.3,1.93,7.9,0.09,0.32,0.29,104.99
G000621__87439,10-Feb-2021,01:17:19,0.45,30.2,47.5,8.8,3.4,2.51,6.4,0.06,0.28,0.38,98.24
G000622__87442,10-Feb-2021,03:01:57,0.52,42.6,26.4,12.4,5.4,3.43,8.4,0.06,0.31,0.52,106.80
G000623__87445,10-Feb-2021,04:07:43,0.51,37.3,43.2,4.6,3.9,2.95,6.8,0.09,0.27,0.43,101.01
G000624__87446,10-Feb-2021,05:36:49,0.63,41.1,33.1,4.7,4.8,3.85,10.8,0.08,0.30,0.55,104.09
__87451,10-Feb-2021,08:07:09,0.64,39.3,36.8,7.4,5.4,1.95,7.8,0.08,0.30,0.31,105.64
G000627__87457,10-Feb-2021,10:27:47,0.65,36.0,36.1,9.5,5.6,3.15,8.1,0.06,0.35,0.59,108.09
G000628__87458,10-Feb-2021,11:43:58,0.62,34.8,33.4,14.3,5.3,3.47,7.2,0.06,0.27,0.53,103.33
G000629__87461,10-Feb-2021,12:50:54,0.52,39.1,31.8,11.8,4.1,3.57,8.3,0.08,0.31,0.49,101.25
G000630__87463,10-Feb-2021,14:17:22,0.74,45.4,22.9,9.5,5.0,3.91,11.7,0.07,0.37,0.53,103.41
G000631__87466,10-Feb-2021,15:45:01,0.79,38.3,37.5,6.4,4.4,2.80,9.0,0.06,0.38,0.50,106.63
PADRAO__87468,10-Feb-2021,16:13:22,0.69,39.2,37.1,6.9,5.4,2.00,8.0,0.08,0.34,0.29,106.70
G000632__87472,10-Feb-2021,17:55:32,0.84,38.4,29.5,13.9,4.4,3.05,9.0,0.07,0.37,0.48,103.05
G000633__87475,10-Feb-2021,19:32:08,0.77,41.1,29.7,8.7,5.0,3.40,10.2,0.07,0.34,0.59,105.60
G000636__87479,10-Feb-2021,22:59:41,0.86,34.6,41.2,8.3,3.7,2.87,7.6,0.07,0.28,0.50,103.55
2113__87484,11-Feb-2021,00:12:03,0.68,39.3,36.8,7.5,5.4,1.94,7.8,0.08,0.30,0.29,104.84
G000637__87485,11-Feb-2021,00:45:13,0.66,38.0,37.3,7.3,4.0,2.77,9.1,0.07,0.27,0.45,105.41
G000639__87487,11-Feb-2021,02:01:16,0.55,29.2,45.9,11.5,3.3,2.36,6.4,0.06,0.32,0.41,98.97
TESTE__87490,11-Feb-2021,03:13:11,0.75,38.3,32.5,9.8,4.1,3.13,10.6,0.06,0.27,0.51,107.38
G000640__87492,11-Feb-2021,05:24:24,0.77,49.0,24.5,8.0,3.2,3.00,10.9,0.08,0.23,0.39,108.46
