SampleName,Date,Time,SiO2,Al2O3,CaO,MgO,Mn,FeO,P,S,TiO2,K2O,Intensity Scale
----------,----,----,%,%,%,%,%,%,%,%,%,%,%
G000390__86742,27-Jan-2021,20:24:12,1.33,45.4,21.9,8.2,4.3,4.18,13.7,0.06,0.45,0.61,109.61
G000387__86744,27-Jan-2021,20:49:22,5.06,56.8,0.3,8.6,0.2,1.16,27.5,0.16,0.18,0.02,102.24
PADRAO_2113__86751,28-Jan-2021,00:01:59,0.70,39.4,37.0,6.8,5.4,2.00,8.0,0.09,0.32,0.29,104.89
G000394__86756,28-Jan-2021,02:58:02,1.11,48.4,16.3,13.1,3.3,3.76,13.1,0.07,0.41,0.47,103.10
G000395__86759,28-Jan-2021,04:00:03,1.34,50.9,15.3,11.3,3.8,3.77,12.7,0.06,0.36,0.51,102.19
G000397__86762,28-Jan-2021,06:39:51,1.48,39.7,28.3,8.9,4.3,4.38,12.0,0.06,0.41,0.56,101.98
G000398__86764,28-Jan-2021,07:51:21,1.38,42.5,27.2,8.2,4.1,4.22,11.4,0.07,0.35,0.53,108.92
2113__86780,28-Jan-2021,10:38:26,0.70,39.3,36.9,7.2,5.4,1.94,8.0,0.09,0.31,0.28,105.14
LD  AF01__86783,28-Jan-2021,11:35:43,3.12,37.3,31.8,8.1,3.5,2.32,12.9,0.08,0.36,0.50,104.42
G000401__86787,28-Jan-2021,12:23:05,1.40,46.1,20.8,10.6,4.4,4.52,11.3,0.07,0.36,0.52,104.32
G000402__86791,28-Jan-2021,13:34:45,1.42,45.5,20.7,10.1,5.4,4.51,11.5,0.07,0.36,0.52,102.44
G000404__86794,28-Jan-2021,15:19:28,1.05,45.6,24.4,8.4,3.9,3.35,12.5,0.07,0.29,0.49,112.39
G000406__86798,28-Jan-2021,17:42:28,0.81,44.3,25.8,11.1,3.9,3.57,9.8,0.06,0.35,0.46,103.41
G000407__86802,28-Jan-2021,19:03:12,0.90,40.6,27.6,11.8,4.4,3.16,10.5,0.05,0.45,0.61,104.67
G000408__86804,28-Jan-2021,20:18:07,0.88,42.2,26.7,11.5,4.2,3.27,10.2,0.06,0.41,0.56,102.95
G000409__86806,28-Jan-2021,21:45:24,0.97,38.1,35.2,9.8,3.7,2.79,8.5,0.06,0.37,0.45,101.34
G000410__86812,28-Jan-2021,23:07:22,0.97,39.2,33.0,9.1,4.0,3.02,9.8,0.06,0.40,0.48,104.06
G000411__86814,29-Jan-2021,00:14:17,1.24,42.3,25.5,7.8,4.8,4.01,13.2,0.07,0.47,0.53,105.04
2113__86818,29-Jan-2021,02:23:03,0.68,39.3,36.9,7.1,5.4,1.97,7.9,0.08,0.31,0.32,104.78
PADRAO__86829,29-Jan-2021,08:26:04,0.63,39.1,36.9,7.3,5.4,2.05,8.0,0.08,0.33,0.30,105.45
G000419__86837,29-Jan-2021,10:56:57,0.98,43.8,26.3,10.5,4.1,3.55,9.8,0.07,0.38,0.47,102.85
PADRAP__86855,29-Jan-2021,16:09:45,0.62,39.2,36.6,7.5,5.4,2.05,7.9,0.09,0.32,0.30,104.21
G000424__86861,29-Jan-2021,21:29:42,1.19,42.3,25.6,10.3,3.6,3.15,13.2,0.07,0.26,0.40,102.17
G000425__86862,29-Jan-2021,21:35:08,0.60,45.9,27.1,9.7,3.4,3.79,8.6,0.09,0.29,0.48,105.02
G000426__86866,29-Jan-2021,23:41:49,1.02,39.0,26.1,11.0,3.8,3.89,14.3,0.06,0.31,0.56,101.84
PADRAO__86870,30-Jan-2021,01:00:51,0.69,39.2,36.7,7.5,5.3,1.99,7.9,0.08,0.33,0.30,104.67
G000428__86871,30-Jan-2021,01:16:54,1.10,44.2,23.0,11.0,4.1,3.25,12.3,0.06,0.41,0.54,102.10
G000431__86876,30-Jan-2021,05:04:36,0.92,37.2,40.7,6.8,3.3,3.23,7.1,0.08,0.30,0.45,100.94
G000432__86881,30-Jan-2021,06:19:36,0.71,30.2,47.7,8.1,2.9,2.53,7.1,0.07,0.25,0.40,98.88
G000433__86883,30-Jan-2021,07:36:49,0.81,30.1,47.6,7.1,2.8,2.53,8.4,0.06,0.25,0.41,97.10
2113__86887,30-Jan-2021,08:27:40,0.75,39.2,36.9,6.9,5.4,2.02,8.0,0.08,0.33,0.29,105.11
G00435__86890,30-Jan-2021,10:00:58,0.64,25.5,56.2,6.4,2.4,2.07,6.2,0.06,0.26,0.37,95.16
