SampleName,Date,Time,SiO2,Al2O3,CaO,MgO,Mn,FeO,P,S,TiO2,K2O,Intensity Scale
----------,----,----,%,%,%,%,%,%,%,%,%,%,%
G000143__86560,12-Jan-2021,17:31:40,1.42,49.2,20.3,12.0,3.8,3.73,8.5,0.09,0.25,0.63,103.23
G000144__86565,12-Jan-2021,18:59:58,0.84,49.7,20.6,11.5,3.6,3.87,9.0,0.10,0.18,0.66,102.65
G000146__86567,12-Jan-2021,21:12:18,1.49,45.9,21.5,9.7,4.1,4.35,12.0,0.08,0.22,0.76,104.88
G000147__86576,12-Jan-2021,22:37:37,0.97,33.8,40.2,11.0,3.1,3.07,6.9,0.07,0.27,0.59,99.21
G000148__86577,12-Jan-2021,23:20:59,1.16,42.8,23.8,9.4,3.9,3.99,13.9,0.06,0.25,0.69,104.76
PADRAO__86580,13-Jan-2021,00:04:35,0.64,39.2,37.1,7.2,5.3,2.01,7.8,0.09,0.30,0.32,106.38
G000150__86582,13-Jan-2021,02:06:52,0.76,31.9,44.1,9.1,2.6,2.49,8.3,0.07,0.27,0.49,100.30
G000151__86584,13-Jan-2021,03:23:01,0.98,38.7,35.0,6.6,3.4,3.55,10.7,0.08,0.30,0.65,103.69
G000152__86587,13-Jan-2021,04:39:21,0.93,38.2,35.2,9.3,3.2,3.06,9.1,0.07,0.27,0.61,102.41
G000153__86588,13-Jan-2021,06:06:13,1.03,37.4,36.9,9.5,3.1,3.01,8.1,0.08,0.29,0.54,101.51
G000154__86591,13-Jan-2021,07:19:07,0.91,38.0,36.5,9.2,3.2,2.95,8.4,0.07,0.27,0.56,102.88
2113__86595,13-Jan-2021,08:18:14,0.67,39.0,36.8,7.7,5.4,1.99,7.8,0.08,0.31,0.30,104.63
G000155__86596,13-Jan-2021,08:28:33,1.00,38.7,30.7,10.9,4.0,3.65,10.1,0.07,0.28,0.65,102.85
G000156__86599,13-Jan-2021,09:32:35,1.82,43.5,24.1,9.8,4.0,3.85,11.9,0.07,0.30,0.65,103.65
G000127__86601,13-Jan-2021,10:57:57,1.11,39.8,33.2,9.5,2.8,3.14,9.5,0.10,0.24,0.53,100.51
G000158__86607,13-Jan-2021,13:41:28,1.31,47.4,23.0,5.1,4.4,4.47,13.2,0.07,0.35,0.74,125.08
G000159__86609,13-Jan-2021,15:04:00,1.33,42.7,29.2,10.1,3.2,2.92,9.5,0.07,0.30,0.58,111.69
G000160__86611,13-Jan-2021,15:53:02,1.00,42.7,29.6,8.6,3.9,3.52,9.8,0.07,0.29,0.64,116.03
G000162__86615,13-Jan-2021,18:51:46,1.24,45.5,25.2,9.7,3.6,3.63,10.2,0.08,0.25,0.57,113.11
PADRAO__86616,13-Jan-2021,19:00:51,0.69,39.2,36.9,7.3,5.3,2.00,8.0,0.09,0.32,0.30,106.34
G000164__86621,13-Jan-2021,20:39:48,1.15,47.0,22.7,7.1,3.6,4.60,12.9,0.08,0.25,0.63,116.03
G000167__86636,14-Jan-2021,10:38:06,1.17,46.7,22.6,10.6,3.1,4.00,11.0,0.10,0.28,0.54,104.00
G000169__86637,14-Jan-2021,10:41:47,0.77,46.9,27.0,9.9,3.1,3.40,8.1,0.08,0.23,0.50,105.49
G000174__86638,14-Jan-2021,10:46:26,0.82,44.8,29.4,8.7,4.1,3.09,8.3,0.08,0.29,0.52,109.12
G000168__86639,14-Jan-2021,10:58:23,1.10,46.5,23.3,11.3,3.0,3.34,10.6,0.08,0.22,0.53,110.86
G000174__86650,14-Jan-2021,12:54:09,0.85,43.2,29.9,11.3,3.4,2.79,7.7,0.08,0.24,0.42,103.42
ESCORIA LD AF01__86653,14-Jan-2021,13:30:17,0.77,36.3,37.2,7.1,3.9,3.21,10.3,0.07,0.38,0.70,101.55
G000177__86655,14-Jan-2021,14:30:50,0.81,43.3,30.1,10.8,3.6,2.82,7.7,0.08,0.27,0.46,106.04
AF01__86660,14-Jan-2021,15:30:29,39.29,18.66,30.12,7.12,1.13,1.15,0.001,0.08,1.06,1.39,115.64F000372__86704,26-Jan-2021,19:11:24,1.40,46.5,13.9,15.5,3.1,3.84,14.7,0.05,0.46,0.60,102.48
PADRAO__86712,27-Jan-2021,00:13:31,0.70,39.2,37.0,7.1,5.4,1.91,8.0,0.10,0.33,0.29,104.77
G000380__86723,27-Jan-2021,06:46:12,1.23,50.6,24.5,5.4,3.8,3.08,10.5,0.10,0.33,0.36,105.50
PADRAO__86727,27-Jan-2021,08:25:26,0.68,39.7,36.9,6.9,5.4,1.97,7.8,0.08,0.33,0.29,104.19
