SampleName,Date,Time,SiO2,Al2O3,CaO,MgO,Mn,FeO,P,S,TiO2,K2O,Intensity Scale
----------,----,----,%,%,%,%,%,%,%,%,%,%,%
G000743__87818,17-Feb-2021,07:19:52,0.43,41.7,29.6,11.1,4.6,3.74,8.0,0.09,0.21,0.49,103.69
PADRAO__87822,17-Feb-2021,08:15:11,0.65,39.1,36.8,7.8,5.3,1.95,7.7,0.08,0.34,0.29,105.23
G000747__87829,17-Feb-2021,10:51:51,0.55,44.7,28.5,7.8,5.6,2.78,9.5,0.08,0.14,0.37,106.63
G000747__87831,17-Feb-2021,11:48:27,0.70,50.2,19.6,11.3,4.9,4.39,8.1,0.09,0.23,0.56,103.77
G000748__87838,17-Feb-2021,16:27:37,0.53,44.8,27.9,8.9,5.1,4.28,7.5,0.09,0.27,0.61,104.98
G000750__87843,17-Feb-2021,20:00:14,0.47,37.8,38.0,9.7,3.9,3.39,5.9,0.09,0.28,0.53,102.67
G000753__87845,17-Feb-2021,21:14:41,0.46,39.8,33.8,9.6,4.4,3.56,7.5,0.08,0.30,0.51,104.32
G000755__87851,17-Feb-2021,23:38:24,0.47,42.2,31.7,8.5,4.8,3.85,7.6,0.09,0.29,0.57,105.23
PADRAO__87855,18-Feb-2021,00:14:09,0.61,39.4,37.3,6.9,5.4,2.04,7.7,0.08,0.30,0.30,106.38
G000756__87856,18-Feb-2021,01:05:50,0.31,36.3,45.2,6.1,3.8,2.93,4.6,0.08,0.22,0.46,106.14
G000758__87859,18-Feb-2021,02:36:13,0.45,45.6,30.8,6.2,4.6,3.70,7.8,0.08,0.29,0.51,113.61
G000761__87862,18-Feb-2021,05:17:06,0.53,47.4,26.5,7.0,4.5,3.97,9.2,0.08,0.33,0.52,111.08
G000761__87867,18-Feb-2021,06:55:53,0.49,46.4,28.8,6.7,4.5,3.78,8.5,0.08,0.31,0.54,110.35
G000762__87869,18-Feb-2021,07:32:34,0.46,44.2,32.1,7.2,4.5,4.00,6.6,0.09,0.27,0.57,105.14
G000763__87873,18-Feb-2021,08:42:20,0.31,34.4,43.5,9.8,3.6,3.30,4.3,0.08,0.23,0.44,99.48
G000764__87875,18-Feb-2021,09:29:43,0.45,42.1,32.4,9.5,3.8,4.13,7.0,0.09,0.15,0.46,102.63
2113__87876,18-Feb-2021,09:55:59,0.66,39.3,37.1,7.0,5.5,1.99,7.8,0.08,0.39,0.29,105.60
G000764__87881,18-Feb-2021,12:42:04,0.49,40.3,36.6,5.9,3.8,3.48,8.6,0.07,0.18,0.48,107.91
G000765__87882,18-Feb-2021,13:33:52,0.77,45.4,22.2,8.7,3.6,3.80,14.7,0.07,0.22,0.50,105.74
AF01__87890,18-Feb-2021,16:47:31,0.81,36.5,40.1,6.9,3.4,2.82,8.6,0.07,0.28,0.55,99.84
G000767__87892,18-Feb-2021,17:00:00,0.51,43.0,35.1,4.5,4.1,2.94,8.9,0.06,0.45,0.51,120.25
2113__87893,18-Feb-2021,17:08:14,0.66,39.2,37.2,7.0,5.4,1.99,7.8,0.08,0.33,0.28,107.02
G000769__87897,18-Feb-2021,18:29:49,0.57,40.8,37.2,8.3,3.4,2.42,6.5,0.08,0.30,0.37,105.20
G000770__87900,18-Feb-2021,19:38:37,0.79,46.4,29.9,6.8,3.8,3.51,8.0,0.10,0.33,0.44,107.66
G000773__87906,18-Feb-2021,23:00:13,0.69,40.5,33.7,9.3,3.7,3.15,8.1,0.07,0.32,0.45,107.73
PADRAO__87909,18-Feb-2021,23:55:27,0.69,39.3,37.1,7.1,5.4,2.00,7.7,0.08,0.32,0.29,106.10
G000774__87910,19-Feb-2021,01:12:03,0.75,40.0,34.4,9.8,3.5,2.83,7.9,0.07,0.31,0.40,104.71
G000775__87911,19-Feb-2021,01:20:12,0.75,41.5,27.8,12.8,4.2,3.30,8.7,0.08,0.30,0.49,104.68
G000776__87913,19-Feb-2021,02:24:09,0.76,38.1,31.3,12.1,4.4,3.56,8.7,0.07,0.35,0.60,102.24
G000777__87917,19-Feb-2021,04:27:33,0.73,38.9,31.7,11.7,4.3,3.39,8.3,0.07,0.34,0.57,105.21
G000778__87919,19-Feb-2021,06:16:11,0.79,44.8,26.8,7.9,3.7,3.10,11.8,0.06,0.48,0.51,111.38
PADAO__87926,19-Feb-2021,08:24:25,0.60,39.1,37.0,7.4,5.4,1.94,7.9,0.08,0.33,0.29,105.56
