SampleName,Date,Time,SiO2,Al2O3,CaO,MgO,Mn,FeO,P,S,TiO2,K2O,Intensity Scale
----------,----,----,%,%,%,%,%,%,%,%,%,%,%
PADRAO__87034,02-Feb-2021,00:12:37,0.69,39.1,36.7,7.6,5.4,2.00,7.9,0.08,0.32,0.30,104.39
G000482__87042,02-Feb-2021,06:55:45,1.08,44.5,26.0,10.1,3.2,3.70,10.5,0.09,0.32,0.55,104.54
PADRAO__87045,02-Feb-2021,08:25:30,0.69,39.3,36.8,7.3,5.4,2.01,7.8,0.08,0.34,0.30,104.93
G000484__87047,02-Feb-2021,09:53:58,1.15,31.4,36.6,5.8,5.4,3.38,15.0,0.04,0.54,0.73,101.25
G000485__87050,02-Feb-2021,10:34:49,0.74,43.4,26.4,10.9,3.2,3.18,11.3,0.07,0.38,0.43,102.59
G000486__87052,02-Feb-2021,11:19:22,0.77,46.5,19.9,11.4,4.0,4.37,12.0,0.08,0.36,0.55,102.89
PADRAO__87065,02-Feb-2021,17:21:29,0.66,39.3,37.0,7.0,5.4,2.00,7.8,0.09,0.31,0.31,105.20
G000494__87076,02-Feb-2021,23:16:11,0.93,45.3,26.4,8.2,4.3,3.64,10.3,0.08,0.36,0.45,109.59
G000495__87077,02-Feb-2021,23:26:36,0.85,45.3,25.3,8.0,4.2,4.02,11.5,0.10,0.29,0.48,104.73
PADRAO__87079,03-Feb-2021,00:10:15,0.65,39.3,37.0,7.1,5.3,2.00,7.9,0.09,0.33,0.31,106.48
PADRAO__87094,03-Feb-2021,08:04:43,0.70,39.2,36.9,7.2,5.4,2.01,7.9,0.09,0.33,0.29,105.32
G000503__87096,03-Feb-2021,10:09:27,0.65,37.2,37.6,8.9,3.3,2.85,8.6,0.06,0.39,0.46,102.71
G000504__87097,03-Feb-2021,10:19:49,0.64,38.9,35.6,9.2,3.1,2.80,8.8,0.06,0.44,0.46,102.24
2113__87110,03-Feb-2021,15:59:05,0.66,39.2,36.9,7.2,5.4,1.97,7.9,0.08,0.32,0.30,105.33
G000510__87114,03-Feb-2021,19:15:44,0.70,38.5,32.1,5.0,5.4,3.61,13.5,0.06,0.56,0.59,102.96
G000512__87120,03-Feb-2021,22:42:38,0.52,32.4,43.9,7.3,3.6,2.65,8.8,0.05,0.37,0.43,100.99
PADRAO__87127,04-Feb-2021,00:11:20,0.70,39.1,36.7,7.6,5.4,2.00,7.9,0.08,0.32,0.30,104.35
2113__87142,04-Feb-2021,08:38:53,0.63,39.1,36.9,7.4,5.4,2.03,7.9,0.09,0.32,0.30,104.88
G000XXX__87143,04-Feb-2021,08:43:08,1.22,43.5,20.0,9.7,4.4,4.51,15.6,0.06,0.37,0.70,104.32
ESC_LD_AF__87150,04-Feb-2021,12:59:27,0.93,35.7,36.2,7.8,4.0,2.90,11.2,0.06,0.41,0.71,99.83
G000524__87155,04-Feb-2021,18:13:03,0.67,35.4,38.3,5.8,4.0,3.46,11.0,0.05,0.59,0.71,100.95
G000529__87161,04-Feb-2021,21:59:27,0.61,32.8,38.6,7.7,4.5,3.05,11.5,0.04,0.64,0.72,103.32
G000532__87165,05-Feb-2021,00:17:36,0.91,40.9,29.3,9.3,4.0,3.13,11.5,0.06,0.44,0.49,122.03
PADRAO__87168,05-Feb-2021,01:14:56,0.71,39.4,36.8,7.2,5.4,1.99,7.8,0.09,0.33,0.31,104.65
2113__87178,05-Feb-2021,08:18:42,0.64,39.3,37.2,7.0,5.4,2.01,7.8,0.08,0.33,0.30,105.57
F00539__87182,05-Feb-2021,10:03:33,0.81,41.6,28.3,9.8,4.8,3.72,10.0,0.07,0.38,0.61,114.86
G000540__87189,05-Feb-2021,15:08:29,0.72,41.1,22.9,15.5,3.6,3.47,11.7,0.06,0.35,0.54,105.64
PADRAO__87192,05-Feb-2021,16:05:38,0.68,39.3,36.9,7.2,5.4,1.99,7.8,0.08,0.36,0.30,105.02
G000541__87195,05-Feb-2021,17:45:23,0.59,39.5,36.9,7.1,3.0,2.67,9.3,0.06,0.37,0.44,108.50
G000543__87200,05-Feb-2021,20:40:20,0.83,41.7,25.0,10.9,4.9,3.70,11.9,0.05,0.46,0.56,103.82
G000544__87201,05-Feb-2021,21:25:37,0.68,40.0,30.1,8.9,5.2,3.76,10.4,0.06,0.45,0.56,102.20
G000545__87205,05-Feb-2021,22:41:47,0.64,36.3,35.0,11.6,4.1,2.76,8.7,0.05,0.39,0.46,101.95
