SampleName,Date,Time,SiO2,Al2O3,CaO,MgO,Mn,FeO,P,S,TiO2,K2O,Intensity Scale
----------,----,----,%,%,%,%,%,%,%,%,%,%,%
AF01_4H50__86486,11-Jan-2021,05:16:12,41.39,20.11,26.28,7.17,0.91,1.99,0.001,0.06,0.88,1.20,99.11
AF01__86489,11-Jan-2021,07:12:25,41.49,19.78,26.82,7.31,0.88,1.63,0.001,0.06,0.88,1.14,100.69
AF01__86492,11-Jan-2021,08:09:41,41.69,19.73,26.32,7.23,1.03,1.65,0.001,0.06,0.88,1.41,98.70
AF01__86494,11-Jan-2021,10:53:53,42.35,18.62,26.86,7.31,0.89,1.72,0.001,0.06,0.83,1.36,99.04
PADRAO__86495,11-Jan-2021,12:03:21,0.63,39.2,36.8,7.3,5.4,1.96,8.0,0.08,0.34,0.29,105.55
M.AF01__86497,11-Jan-2021,12:19:34,6.87,1.53,82.71,0.12,0.046,0.0091,0.49,0.00,0.13,0.06,0.04,57.84
M.AF01__86497,11-Jan-2021,12:19:34,6.87,1.53,82.71,0.12,0.046,0.0091,0.49,0.00,0.13,0.06,0.04,57.84
M.AF01__86497,11-Jan-2021,12:19:34,6.87,1.53,82.71,0.12,0.046,0.0091,0.49,0.00,0.13,0.06,0.04,57.84
M.AF01__86497,11-Jan-2021,12:19:34,6.87,1.53,82.71,0.12,0.046,0.0091,0.49,0.00,0.13,0.06,0.04,57.84
M.AF01__86497,11-Jan-2021,12:19:34,6.87,1.53,82.71,0.12,0.046,0.0091,0.49,0.00,0.13,0.06,0.04,57.84
M.AF01__86497,11-Jan-2021,12:19:34,6.87,1.53,82.71,0.12,0.046,0.0091,0.49,0.00,0.13,0.06,0.04,57.84
PADRAO  LD__86498,11-Jan-2021,12:55:32,0.70,39.3,37.0,7.1,5.4,1.94,7.9,0.09,0.33,0.29,106.29
G000127__86504,11-Jan-2021,15:32:56,1.54,42.4,24.6,11.4,5.1,4.20,9.6,0.07,0.36,0.73,105.81
PADRAO__86509,11-Jan-2021,18:14:16,0.65,39.3,36.8,7.4,5.4,1.98,7.8,0.08,0.31,0.29,105.05
LA AF01__86511,11-Jan-2021,18:33:52,2.48,40.3,27.4,10.1,3.4,2.36,13.1,0.08,0.35,0.44,103.31
SUCATA AF01__86514,11-Jan-2021,19:03:55,18.22,28.9,25.4,7.9,2.8,1.04,15.0,0.09,0.51,0.21,112.39
G000128__86519,11-Jan-2021,22:02:16,1.31,46.3,15.6,11.7,3.2,2.57,18.1,0.05,0.39,0.71,105.37
G000130__86523,11-Jan-2021,23:45:40,1.04,47.1,17.4,12.1,2.6,2.96,15.9,0.06,0.32,0.49,103.39
PADRAO__86525,12-Jan-2021,00:18:08,0.67,39.0,36.8,7.7,5.3,2.01,7.8,0.09,0.28,0.31,105.25
G000131__86527,12-Jan-2021,01:13:07,0.93,45.8,20.7,11.2,3.7,3.64,12.9,0.06,0.39,0.68,104.64
G000137__86537,12-Jan-2021,07:54:06,0.92,40.3,30.1,11.3,4.0,3.41,9.0,0.07,0.30,0.67,102.58
2113__86541,12-Jan-2021,08:42:40,0.70,39.2,36.8,7.2,5.4,2.00,8.0,0.09,0.32,0.29,105.82
CAL_VIRGEM_FABRICAL__86542,12-Jan-2021,09:00:17,1.76,0.89,92.87,3.87,0.01,0.14,0.003,0.12,0.02,0.33,83.60
G000128__86543,12-Jan-2021,09:13:06,0.73,37.0,36.7,10.8,3.1,3.05,7.6,0.07,0.28,0.65,101.39
G000128__86543,12-Jan-2021,09:13:06,0.73,37.0,36.7,10.8,3.1,3.05,7.6,0.07,0.28,0.65,101.39
TESTE__86544,12-Jan-2021,09:22:53,0.74,37.4,36.6,10.7,3.2,2.94,7.4,0.07,0.31,0.67,101.38
TESTE__86544,12-Jan-2021,09:22:53,0.74,37.4,36.6,10.7,3.2,2.94,7.4,0.07,0.31,0.67,101.38
G000139__86547,12-Jan-2021,10:54:32,1.02,45.8,24.6,10.8,2.8,3.92,10.0,0.09,0.22,0.63,104.08
G000140__86549,12-Jan-2021,11:53:32,0.98,42.1,26.8,11.1,3.1,3.22,11.8,0.07,0.24,0.65,104.88
FeSiMn__86552,12-Jan-2021,13:58:08,0.23,0.9,29.0,0.1,53.9,0.40,14.3,0.01,0.74,0.35,92.74
PADRAO__86556,12-Jan-2021,16:13:23,0.72,39.2,36.8,7.4,5.4,2.02,7.9,0.09,0.31,0.29,105.26
G000142__86558,12-Jan-2021,16:36:21,1.71,44.6,23.7,10.7,4.5,3.57,10.2,0.07,0.28,0.71,103.90
