SampleName,Date,Time,SiO2,Al2O3,CaO,MgO,Mn,FeO,P,S,TiO2,K2O,Intensity Scale
----------,----,----,%,%,%,%,%,%,%,%,%,%,%
G000679__87611,13-Feb-2021,11:23:14,1.02,40.1,30.2,11.8,3.4,2.64,10.0,0.06,0.35,0.37,105.89
G000680__87617,13-Feb-2021,13:38:36,1.00,41.7,28.2,11.7,3.9,2.59,10.2,0.06,0.31,0.34,103.67
G000681__87619,13-Feb-2021,13:57:30,1.05,43.3,26.0,9.3,4.9,2.89,11.7,0.07,0.39,0.39,106.16
G000682__87625,13-Feb-2021,15:36:17,1.07,44.4,24.4,9.5,4.6,2.70,12.5,0.08,0.36,0.36,106.84
2113__87627,13-Feb-2021,15:59:57,0.70,39.4,37.1,6.8,5.4,2.00,7.9,0.08,0.32,0.30,105.90
G000683__87629,13-Feb-2021,16:45:56,0.67,42.1,30.6,11.0,4.0,2.57,8.3,0.07,0.34,0.35,106.38
G000684__87633,13-Feb-2021,18:33:42,0.91,42.0,30.5,10.5,4.7,2.68,8.1,0.08,0.28,0.36,103.16
G000685__87635,13-Feb-2021,20:16:05,0.76,38.3,34.8,10.7,4.1,2.28,8.3,0.08,0.30,0.35,101.70
G000686__87637,13-Feb-2021,21:40:03,0.71,46.3,25.4,8.6,4.4,3.23,10.6,0.09,0.37,0.44,103.34
G000687__87642,13-Feb-2021,23:14:11,1.28,41.5,29.5,9.4,4.6,2.67,10.1,0.06,0.41,0.48,103.20
PADRAO__87645,14-Feb-2021,00:11:01,0.64,39.5,36.9,7.0,5.4,2.00,7.8,0.09,0.32,0.31,105.20
2113__87652,14-Feb-2021,09:04:12,0.65,39.3,37.3,6.9,5.4,1.98,7.9,0.09,0.31,0.31,106.34
G000692__87653,14-Feb-2021,09:12:52,0.67,37.5,37.2,9.3,4.1,2.66,7.8,0.07,0.31,0.37,101.26
G000693__87654,14-Feb-2021,09:35:54,0.75,43.0,29.4,8.1,4.8,2.95,10.2,0.07,0.33,0.38,105.85
G000694__87655,14-Feb-2021,09:41:13,0.74,41.6,31.6,8.4,4.6,2.84,9.5,0.07,0.29,0.39,104.54
G000696__87662,14-Feb-2021,11:08:55,1.21,42.7,28.6,8.3,4.1,2.89,11.4,0.07,0.29,0.39,104.09
G000696__87665,14-Feb-2021,12:32:27,0.73,47.1,24.5,10.1,4.3,3.23,9.2,0.08,0.35,0.40,106.19
G000697__87672,14-Feb-2021,14:18:04,1.02,46.3,25.0,9.1,4.0,2.85,10.9,0.08,0.31,0.38,107.83
G000698__87673,14-Feb-2021,15:48:29,0.68,46.5,28.1,8.6,3.9,2.30,9.3,0.07,0.28,0.32,106.32
2113__87675,14-Feb-2021,16:03:02,0.67,39.5,36.9,6.9,5.5,2.00,7.9,0.08,0.31,0.30,105.67
G000699__87677,14-Feb-2021,17:14:50,0.66,39.5,34.5,9.8,4.0,2.09,8.7,0.06,0.38,0.35,105.21
G000701__87683,14-Feb-2021,22:51:42,0.75,39.7,29.3,10.6,4.8,2.72,11.2,0.05,0.40,0.39,103.92
PADRAO__87686,15-Feb-2021,00:30:21,0.66,39.3,37.2,6.9,5.4,2.04,7.8,0.08,0.33,0.31,105.42
G000702__87688,15-Feb-2021,01:37:49,0.60,40.3,37.1,8.3,3.5,2.14,7.4,0.06,0.33,0.31,105.13
G000703__87690,15-Feb-2021,02:15:43,1.56,43.2,27.4,7.2,4.8,2.33,12.7,0.06,0.40,0.36,108.48
G000704__87691,15-Feb-2021,04:10:55,0.95,47.3,23.8,8.1,4.7,2.83,11.5,0.07,0.38,0.36,107.30
G000705__87694,15-Feb-2021,05:41:52,0.78,47.2,25.8,7.3,5.1,2.54,10.4,0.06,0.43,0.40,109.75
G000707__87697,15-Feb-2021,07:32:15,0.98,43.4,29.7,8.8,4.5,2.25,9.7,0.07,0.33,0.30,105.26
2113__87701,15-Feb-2021,08:47:45,0.70,39.0,36.8,7.7,5.4,1.96,7.7,0.08,0.31,0.30,105.44
G000708__87702,15-Feb-2021,09:04:41,0.78,42.6,31.2,6.3,5.7,2.32,10.3,0.06,0.40,0.34,108.13
G000709__87708,15-Feb-2021,10:50:20,0.88,42.5,25.7,7.3,4.9,2.59,15.3,0.05,0.41,0.33,107.35
AF01__87709,15-Feb-2021,10:54:53,0.85,42.0,28.4,7.1,5.2,2.53,13.1,0.05,0.41,0.33,106.75
