SampleName,Date,Time,SiO2,Al2O3,CaO,MgO,Mn,FeO,P,S,TiO2,K2O,Intensity Scale
----------,----,----,%,%,%,%,%,%,%,%,%,%,%
AF01__86304,07-Jan-2021,11:36:02,42.77,18.56,25.83,7.34,0.79,2.57,0.001,0.07,0.83,1.23,98.77
AF01__86306,07-Jan-2021,12:08:22,42.61,18.87,25.98,7.40,0.95,1.90,0.001,0.06,0.88,1.34,99.70
AF01__86310,07-Jan-2021,13:48:58,41.85,17.77,28.09,7.71,0.91,1.73,0.001,0.06,0.80,1.07,101.24
AF01__86317,07-Jan-2021,15:53:39,42.35,18.96,27.06,7.30,0.70,1.80,0.001,0.07,0.78,0.97,98.59
AF01_4H__86320,07-Jan-2021,16:28:23,42.51,19.52,25.71,7.27,0.82,2.11,0.001,0.06,0.86,1.14,97.19
AF01_18H20__86327,07-Jan-2021,18:47:59,42.55,18.74,26.03,7.28,0.82,2.67,0.001,0.06,0.82,1.04,97.91
AF012_20H__86329,07-Jan-2021,20:22:29,40.80,19.32,28.73,7.48,0.60,1.33,0.001,0.08,0.81,0.86,104.73
AF01_20H40__86331,07-Jan-2021,21:10:47,41.43,19.80,25.53,7.27,0.63,3.52,0.001,0.07,0.79,0.95,94.55
AF01_22H10__86333,07-Jan-2021,22:54:13,40.79,19.19,28.86,7.76,0.52,1.30,0.001,0.09,0.71,0.79,98.00
AF01__86338,08-Jan-2021,00:45:29,41.46,18.96,28.33,7.89,0.60,1.03,0.001,0.08,0.78,0.87,99.21
AF01__86341,08-Jan-2021,02:51:42,41.81,19.64,27.75,7.37,0.55,1.12,0.001,0.08,0.71,0.95,99.32
AF01__86343,08-Jan-2021,03:42:05,40.72,20.25,26.87,7.37,0.46,2.63,0.001,0.09,0.67,0.93,97.13
AF01__86347,08-Jan-2021,05:54:25,39.84,20.15,28.48,7.76,0.38,1.86,0.001,0.10,0.69,0.73,99.76
AF01__86348,08-Jan-2021,07:22:43,40.65,20.77,28.04,7.56,0.47,0.84,0.001,0.09,0.73,0.86,98.37
AF01__86353,08-Jan-2021,08:34:21,40.98,20.08,28.23,7.60,0.52,0.81,0.001,0.09,0.77,0.93,100.44
AF01__86355,08-Jan-2021,10:28:43,39.65,20.70,26.50,7.42,0.57,3.24,0.001,0.08,0.77,1.06,97.67
AF01__86357,08-Jan-2021,12:18:30,42.27,18.52,27.59,7.45,0.70,1.42,0.001,0.07,0.81,1.15,101.20
AF01__86358,08-Jan-2021,12:34:21,42.17,18.91,27.52,7.61,0.71,0.98,0.001,0.07,0.80,1.23,100.59
AF01__86359,08-Jan-2021,14:36:21,41.57,19.56,26.79,7.42,0.77,1.78,0.001,0.07,0.84,1.20,100.26
AF01__86365,08-Jan-2021,15:16:36,41.92,19.67,26.96,7.50,0.71,1.20,0.001,0.07,0.85,1.10,100.05
AF01__86369,08-Jan-2021,17:16:06,41.77,18.95,28.13,7.46,0.68,1.06,0.001,0.08,0.84,1.05,102.94
AF01__86371,08-Jan-2021,18:50:00,41.45,18.76,28.46,7.26,0.84,1.07,0.001,0.07,0.91,1.17,106.85
AF01__86372,08-Jan-2021,19:50:47,41.38,18.65,28.72,7.23,0.78,1.14,0.001,0.08,0.89,1.14,106.53
AF01__86376,08-Jan-2021,21:46:59,41.81,18.08,28.80,7.52,0.72,1.16,0.001,0.08,0.84,1.00,105.52
AF01__86379,08-Jan-2021,22:51:05,39.93,18.10,30.00,7.48,0.66,1.94,0.001,0.09,0.82,0.98,107.92
AF01__86384,09-Jan-2021,00:15:52,41.84,18.80,28.12,7.68,0.66,1.05,0.001,0.08,0.78,0.99,100.26
AF01__86387,09-Jan-2021,02:10:57,40.80,18.07,29.53,7.65,0.84,1.11,0.001,0.08,0.83,1.09,104.89
AF01__86388,09-Jan-2021,02:43:15,41.44,19.06,27.68,7.59,0.86,1.22,0.001,0.07,0.84,1.24,100.48
AF01_4H50__86391,09-Jan-2021,05:19:40,41.15,18.94,27.42,7.56,1.05,1.65,0.001,0.06,0.90,1.26,100.30
AF01_5H40__86393,09-Jan-2021,06:35:54,42.29,19.20,26.66,7.36,0.88,1.40,0.001,0.07,0.88,1.26,101.26
AF01__86395,09-Jan-2021,07:48:24,41.56,19.59,27.15,7.69,0.80,1.06,0.001,0.07,0.86,1.21,99.41
AF01__86397,09-Jan-2021,08:08:31,40.80,19.84,26.41,7.52,0.90,2.32,0.001,0.07,0.87,1.26,97.90
