SampleName,Date,Time,SiO2,Al2O3,CaO,MgO,Mn,FeO,P,S,TiO2,K2O,Intensity Scale
----------,----,----,%,%,%,%,%,%,%,%,%,%,%
ESCORIA TESTE__86219,05-Jan-2021,13:58:32,37.55,20.45,30.87,8.14,0.31,0.89,0.001,0.11,0.58,1.12,105.14
escoria_v_test__86220,05-Jan-2021,16:15:56,3.72,0.79,66.34,28.20,0.02,0.42,0.003,0.13,0.03,0.34,112.38
AF01  15.30__86221,05-Jan-2021,16:21:44,36.40,16.92,33.55,7.56,0.50,2.81,0.001,0.11,0.75,1.39,123.37
AF01  17.00__86225,05-Jan-2021,17:54:39,38.26,17.80,32.06,7.23,0.48,1.92,0.001,0.11,0.78,1.37,121.09
AF01  17.40__86226,05-Jan-2021,18:16:13,36.82,17.78,33.46,7.44,0.50,1.63,0.002,0.11,0.77,1.50,124.73
AF01__86228,05-Jan-2021,20:14:58,36.53,17.98,33.56,7.39,0.41,1.59,0.002,0.11,0.73,1.70,125.55
AF01__86232,05-Jan-2021,21:02:03,37.90,17.91,30.94,6.87,0.78,3.13,0.001,0.09,0.90,1.48,122.56
AF01__86235,05-Jan-2021,22:52:52,36.16,15.34,33.62,7.44,0.61,4.40,0.002,0.11,0.76,1.56,123.16
AF01__86238,06-Jan-2021,02:06:07,39.46,16.41,30.62,7.43,1.10,1.80,0.001,0.08,0.94,2.15,122.23
AF01__86239,06-Jan-2021,02:58:01,39.09,16.72,29.73,7.09,1.13,3.02,0.001,0.08,0.97,2.18,121.34
AF01__86242,06-Jan-2021,04:52:08,40.30,17.35,30.24,7.26,0.96,1.14,0.001,0.08,0.93,1.73,118.39
AF01__86243,06-Jan-2021,05:26:37,39.76,17.19,30.08,7.20,1.02,1.89,0.001,0.08,0.95,1.82,118.73
AF01__86247,06-Jan-2021,08:16:50,39.38,18.38,26.14,6.07,1.12,6.18,0.001,0.06,1.22,1.45,120.88
AF01__86248,06-Jan-2021,08:53:58,38.63,14.85,32.57,7.08,1.44,2.59,0.001,0.08,1.09,1.68,131.77
AF01__86250,06-Jan-2021,11:28:24,39.85,16.03,31.55,7.08,1.27,1.69,0.001,0.08,1.06,1.40,126.97
AF01__86252,06-Jan-2021,12:20:23,39.50,16.42,31.53,6.90,1.29,1.81,0.001,0.08,1.05,1.44,127.10
AF01__86255,06-Jan-2021,12:57:02,39.33,15.97,31.94,6.94,1.30,1.96,0.001,0.08,1.04,1.44,126.33
AF01__86256,06-Jan-2021,14:48:14,39.26,16.43,32.91,7.18,0.87,1.13,0.001,0.09,0.89,1.23,126.36
AF01__86262,06-Jan-2021,15:37:51,39.31,15.92,32.12,7.16,1.29,1.64,0.001,0.08,1.09,1.39,128.68
AF01_4H50__86266,06-Jan-2021,17:33:18,43.09,19.13,25.86,7.87,0.79,1.13,0.001,0.08,0.78,1.26,98.88
CAL_DOLO__86267,06-Jan-2021,17:54:53,1.87,0.60,64.35,32.70,0.02,0.22,0.003,0.06,0.01,0.15,106.76
__86270,06-Jan-2021,18:59:03,10.07,7.29,52.74,11.95,0.46,8.62,0.015,0.86,0.66,7.35,152.32
CARVAO NATIVA__86271,06-Jan-2021,19:04:40,14.80,5.80,47.78,11.40,0.18,3.44,0.007,4.15,0.64,11.82,146.93
AF01_8H__86273,06-Jan-2021,20:28:55,43.20,19.06,25.31,7.70,0.97,1.56,0.001,0.07,0.86,1.27,99.84
AF01__86274,06-Jan-2021,20:58:26,43.44,19.70,24.75,7.70,0.88,1.35,0.001,0.07,0.83,1.27,96.80
AF01__86275,06-Jan-2021,21:14:47,42.35,19.82,25.90,7.91,0.78,1.26,0.001,0.08,0.82,1.08,98.56
AF01__86279,06-Jan-2021,23:13:08,40.73,19.49,27.93,8.05,0.67,1.24,0.001,0.09,0.79,1.00,101.02
AF01__86282,07-Jan-2021,02:07:46,41.62,18.86,27.48,7.75,0.82,1.36,0.001,0.08,0.83,1.21,100.04
AF01__86283,07-Jan-2021,02:56:04,41.18,19.61,25.43,7.52,0.73,3.53,0.001,0.07,0.80,1.14,94.06
AF01__86292,07-Jan-2021,06:04:22,28.25,5.38,56.98,7.98,0.13,0.71,0.002,0.33,0.16,0.07,100.49
AF01__86293,07-Jan-2021,07:07:41,42.50,19.14,26.67,7.57,0.73,1.41,0.001,0.08,0.80,1.10,97.62
AF01__86298,07-Jan-2021,09:29:52,42.84,19.19,25.99,7.39,0.95,1.52,0.001,0.06,0.84,1.21,99.73
