SampleName,Date,Time,SiO2,Al2O3,CaO,MgO,Mn,FeO,P,S,TiO2,K2O,Intensity Scale
----------,----,----,%,%,%,%,%,%,%,%,%,%,%
G000779__87930,19-Feb-2021,11:54:54,0.75,47.9,18.2,11.3,3.7,3.27,13.7,0.06,0.52,0.60,111.91
G000780__87933,19-Feb-2021,14:05:24,0.58,39.6,33.6,7.6,4.2,2.61,10.7,0.05,0.46,0.53,113.37
G000781__87934,19-Feb-2021,14:43:56,1.13,48.6,18.6,12.6,3.2,2.87,12.0,0.07,0.40,0.46,104.89
G000781 TESTE__87935,19-Feb-2021,15:25:11,0.62,39.3,33.7,7.8,4.3,2.59,10.7,0.05,0.48,0.51,113.88
G000782__87938,19-Feb-2021,15:57:48,0.97,47.4,25.6,8.8,3.4,2.78,10.1,0.07,0.35,0.39,111.43
PADRAO__87940,19-Feb-2021,16:11:22,0.65,39.3,37.0,7.2,5.4,1.96,7.8,0.09,0.34,0.30,105.21
G000783__87941,19-Feb-2021,17:07:57,0.82,43.0,31.6,8.5,3.3,2.38,9.6,0.07,0.34,0.39,112.37
G000784__87942,19-Feb-2021,18:51:44,1.06,47.1,25.9,9.5,3.2,2.61,10.1,0.07,0.30,0.34,107.11
2113__87952,19-Feb-2021,23:59:55,0.63,39.2,37.1,7.3,5.4,2.00,7.7,0.08,0.31,0.30,106.47
E002095.FEO46.9__87953,20-Feb-2021,00:04:16,0.51,32.0,46.9,5.7,4.4,1.61,8.4,0.06,0.24,0.25,100.20
E002087FEO27.9__87954,20-Feb-2021,00:20:06,0.94,41.4,27.5,8.0,6.8,2.08,12.5,0.06,0.44,0.29,105.23
E0002085FEO32.5__87955,20-Feb-2021,00:27:14,0.70,39.7,31.7,7.0,7.9,2.37,9.9,0.06,0.33,0.43,104.16
E002093FEO42.9__87956,20-Feb-2021,00:34:14,0.63,35.9,41.6,6.5,5.1,1.95,7.6,0.06,0.30,0.27,101.48
E002141FEO53.7__87957,20-Feb-2021,00:39:22,0.49,28.7,53.1,6.6,3.4,1.35,5.9,0.06,0.24,0.15,97.84
E002113FEO37.4__87958,20-Feb-2021,00:45:40,0.61,39.4,36.4,7.7,5.4,2.03,7.8,0.08,0.29,0.27,102.47
E002097FEO47.6__87961,20-Feb-2021,00:50:53,0.64,29.1,48.1,6.9,5.0,1.60,7.9,0.06,0.33,0.29,98.51
E002091FEO245__87962,20-Feb-2021,00:55:18,0.72,46.0,23.7,7.5,6.5,2.09,12.5,0.06,0.62,0.32,106.50
E002235FEO36.6__87963,20-Feb-2021,00:59:15,0.51,43.8,35.0,5.0,4.8,2.14,8.0,0.07,0.41,0.25,106.09
E002174FEO19.5__87964,20-Feb-2021,01:03:56,1.04,44.9,19.4,9.6,6.5,2.85,14.6,0.05,0.71,0.35,104.77
G000789__87965,20-Feb-2021,01:08:12,0.77,45.1,30.7,7.5,3.7,2.97,8.6,0.10,0.31,0.38,105.56
G000790__87969,20-Feb-2021,02:49:15,0.74,45.0,30.2,8.6,3.6,3.06,8.1,0.09,0.29,0.37,104.45
G000791__87972,20-Feb-2021,04:36:41,0.65,46.7,28.4,8.6,2.9,2.84,9.2,0.08,0.31,0.35,106.79
G000792__87973,20-Feb-2021,05:32:08,0.64,46.2,29.9,8.1,3.3,2.86,8.3,0.08,0.32,0.37,108.20
G000793__87977,20-Feb-2021,07:14:53,1.05,46.5,28.0,8.0,3.4,2.78,9.5,0.12,0.31,0.34,105.96
PADRAO__87981,20-Feb-2021,08:45:56,0.60,39.5,37.1,6.8,5.4,2.03,7.8,0.08,0.35,0.31,106.24
G000794__87986,20-Feb-2021,13:18:28,0.71,43.2,26.2,11.0,3.2,2.42,12.4,0.05,0.50,0.34,103.53
G000795__87989,20-Feb-2021,14:18:31,0.52,43.6,28.2,9.7,3.4,2.36,11.2,0.05,0.49,0.40,115.00
PADRAO__87992,20-Feb-2021,16:02:25,0.64,39.4,37.2,6.8,5.5,1.99,7.7,0.09,0.32,0.32,106.61
G000799__87995,20-Feb-2021,18:40:48,0.91,41.4,30.7,7.0,3.5,3.05,12.6,0.07,0.29,0.41,107.73
G000801__87998,20-Feb-2021,21:03:17,0.74,46.2,28.3,7.4,4.8,3.82,7.9,0.08,0.27,0.55,110.51
G000802__88001,20-Feb-2021,22:39:41,1.25,49.4,22.0,8.1,4.5,3.95,9.9,0.08,0.29,0.53,109.34
2113__88005,21-Feb-2021,00:03:05,0.70,39.3,37.0,7.1,5.4,2.00,7.8,0.09,0.35,0.31,106.42
