SampleName,Date,Time,SiO2,Al2O3,CaO,MgO,Mn,FeO,P,S,TiO2,K2O,Intensity Scale
----------,----,----,%,%,%,%,%,%,%,%,%,%,%
G000805__88008,21-Feb-2021,01:47:42,0.60,47.8,28.3,8.4,2.9,2.93,8.4,0.08,0.23,0.41,107.37
G000807__88019,21-Feb-2021,06:32:38,0.91,50.0,25.6,7.9,2.7,2.77,9.4,0.12,0.23,0.38,109.78
G000808__88022,21-Feb-2021,07:51:14,0.55,40.7,35.5,8.5,3.5,2.12,8.4,0.06,0.37,0.37,106.87
PADRAO__88025,21-Feb-2021,08:37:41,0.70,39.4,37.3,6.9,5.4,1.99,7.7,0.09,0.30,0.29,106.45
G000809__88026,21-Feb-2021,09:20:06,0.58,43.6,32.7,8.0,3.2,2.43,8.6,0.07,0.43,0.36,110.97
G000810__88028,21-Feb-2021,10:46:46,0.70,46.7,24.7,9.0,3.7,2.99,11.3,0.07,0.40,0.44,108.12
G000811__88030,21-Feb-2021,11:56:52,0.70,45.5,26.4,9.1,3.5,2.86,11.0,0.07,0.34,0.41,107.52
G000813__88037,21-Feb-2021,15:27:27,0.60,42.5,30.8,10.7,3.1,2.51,9.0,0.07,0.36,0.38,104.32
PADRAO__88040,21-Feb-2021,15:58:36,0.68,39.3,37.1,7.1,5.4,1.97,7.7,0.09,0.33,0.31,106.51
G000816__88042,21-Feb-2021,18:50:48,0.87,47.1,25.1,9.3,3.4,2.60,10.6,0.07,0.46,0.46,113.89
G000816..__88044,21-Feb-2021,19:30:46,1.28,52.9,19.7,7.3,3.7,2.87,11.4,0.07,0.33,0.47,111.85
2113__88051,22-Feb-2021,00:03:33,0.64,39.0,37.1,7.3,5.4,2.00,7.9,0.08,0.32,0.27,106.14
