SampleName,Date,Time,SiO2,Al2O3,CaO,MgO,Mn,FeO,P,S,TiO2,K2O,Intensity Scale
----------,----,----,%,%,%,%,%,%,%,%,%,%,%
G000546__87207,05-Feb-2021,23:42:31,0.77,41.2,27.4,9.9,5.1,3.69,10.9,0.05,0.46,0.59,103.00
2113__87211,06-Feb-2021,01:02:27,0.70,39.3,37.0,7.1,5.4,1.97,7.7,0.09,0.34,0.32,105.47
G000XXX__87212,06-Feb-2021,01:15:47,0.74,40.9,28.6,12.3,4.6,3.18,8.7,0.07,0.35,0.49,102.93
G000548__87213,06-Feb-2021,02:28:11,1.46,42.1,21.8,12.4,5.4,3.97,11.9,0.06,0.41,0.56,102.57
G000549__87217,06-Feb-2021,03:37:11,0.79,43.7,23.0,11.1,5.6,4.19,10.6,0.07,0.38,0.54,103.74
G000550__87218,06-Feb-2021,05:45:10,0.80,44.9,18.2,11.9,5.7,4.61,12.6,0.06,0.39,0.66,102.61
G000551__87224,06-Feb-2021,06:40:51,0.79,37.8,35.8,7.6,4.7,3.43,8.8,0.06,0.38,0.56,102.51
G000552__87225,06-Feb-2021,07:41:09,0.62,41.7,30.9,5.7,6.0,4.42,9.5,0.08,0.38,0.69,109.68
PADRAO__87229,06-Feb-2021,08:48:26,0.69,39.2,37.0,7.0,5.4,2.00,7.9,0.09,0.34,0.27,105.18
G000553__87230,06-Feb-2021,09:04:58,0.74,41.0,33.1,7.2,4.6,3.48,9.0,0.07,0.38,0.49,110.90
G000556__87236,06-Feb-2021,13:24:34,0.38,31.1,50.2,5.8,3.9,2.29,5.6,0.05,0.29,0.43,105.64
G000556__87240,06-Feb-2021,14:54:48,1.19,46.0,21.9,10.6,3.5,3.12,12.9,0.07,0.30,0.43,107.62
PAADRAO__87244,06-Feb-2021,16:07:42,0.67,38.8,36.8,7.6,5.1,2.09,8.2,0.09,0.35,0.29,118.76
G000559__87247,06-Feb-2021,17:13:52,0.52,30.1,47.0,8.2,4.0,3.37,6.0,0.07,0.28,0.52,110.61
G000560__87248,06-Feb-2021,18:21:36,0.43,29.7,46.0,9.6,3.8,2.99,6.7,0.06,0.28,0.53,111.43
G000561__87251,06-Feb-2021,19:30:55,0.41,32.2,43.9,7.8,4.3,3.09,7.5,0.06,0.26,0.57,101.01
G000557__87253,06-Feb-2021,21:18:07,0.47,38.8,31.4,9.6,5.1,3.61,9.8,0.05,0.46,0.60,105.49
G000557 REP__87254,06-Feb-2021,21:27:31,0.46,38.7,30.7,10.1,5.0,3.67,10.2,0.05,0.48,0.58,103.39
G000562__87259,06-Feb-2021,22:23:29,0.46,35.7,34.8,11.4,4.2,3.01,9.4,0.05,0.46,0.43,102.87
G000564__87264,06-Feb-2021,23:26:28,0.50,39.4,31.4,11.1,4.2,2.94,9.4,0.05,0.50,0.46,106.79
2113__87267,07-Feb-2021,00:14:56,0.73,39.0,36.8,7.5,5.4,1.96,8.0,0.08,0.32,0.28,105.59
G000565__87269,07-Feb-2021,01:25:04,0.49,35.6,37.5,9.8,4.1,2.77,8.7,0.05,0.45,0.45,102.88
G000567__87274,07-Feb-2021,03:27:15,0.66,42.8,24.1,11.2,5.0,4.15,11.0,0.06,0.41,0.54,101.17
G000569__87277,07-Feb-2021,05:51:55,0.56,37.1,33.0,9.7,5.9,3.39,9.4,0.05,0.39,0.59,102.88
G000570__87279,07-Feb-2021,06:38:22,0.65,40.0,26.7,8.2,6.9,4.09,12.3,0.06,0.51,0.65,104.38
G000571__87280,07-Feb-2021,08:07:33,0.53,43.3,27.5,7.6,6.0,3.99,10.2,0.07,0.37,0.52,118.62
G000574__87284,07-Feb-2021,12:08:18,0.48,40.8,33.8,6.2,5.1,3.57,9.1,0.06,0.38,0.54,120.57
PADRAO__87290,07-Feb-2021,16:30:28,0.74,39.2,36.9,7.3,5.4,2.00,7.9,0.08,0.31,0.29,105.18
G000578__87292,07-Feb-2021,17:22:38,0.64,40.7,30.7,6.2,6.1,3.77,10.9,0.06,0.35,0.56,110.70
G000579__87293,07-Feb-2021,18:04:43,0.55,39.8,30.1,10.5,5.1,3.49,9.5,0.06,0.34,0.51,103.20
G000580__87296,07-Feb-2021,20:06:49,0.54,41.3,26.4,10.1,6.0,3.57,11.1,0.06,0.40,0.59,106.61
G000581__87298,07-Feb-2021,20:55:54,0.69,42.1,27.1,8.1,6.3,3.93,10.7,0.06,0.36,0.57,103.57
