SampleName,Date,Time,SiO2,Al2O3,CaO,MgO,Mn,FeO,P,S,TiO2,K2O,Intensity Scale
----------,----,----,%,%,%,%,%,%,%,%,%,%,%
PADRAO__87724,15-Feb-2021,16:31:47,0.64,39.5,36.9,7.2,5.4,1.96,7.7,0.08,0.33,0.27,105.43
G000712__87726,15-Feb-2021,17:32:51,0.58,50.8,19.1,11.2,3.4,2.72,11.6,0.07,0.34,0.24,103.87
G000713__87728,15-Feb-2021,18:46:51,0.47,41.8,28.2,8.0,4.5,2.42,13.7,0.05,0.51,0.38,104.74
G000714__87731,15-Feb-2021,20:23:04,0.51,40.8,32.5,6.4,4.8,2.40,11.7,0.06,0.51,0.33,105.84
G000715__87736,15-Feb-2021,21:31:14,0.49,42.5,29.1,7.7,4.5,2.37,12.4,0.05,0.51,0.36,105.79
G000716__87738,15-Feb-2021,22:53:35,0.40,43.7,28.7,9.1,4.1,2.40,10.9,0.06,0.41,0.28,103.11
2113__87741,16-Feb-2021,00:01:48,0.70,39.3,37.4,6.8,5.4,1.98,7.7,0.09,0.32,0.28,106.14
G0007XX__87743,16-Feb-2021,00:50:10,0.53,45.6,28.4,10.2,4.1,1.96,8.6,0.07,0.33,0.27,105.95
LD__87746,16-Feb-2021,02:08:43,0.34,35.2,42.9,7.1,4.6,1.90,7.3,0.06,0.33,0.28,103.53
G000719__87751,16-Feb-2021,03:48:00,0.58,40.2,36.1,6.1,5.2,2.31,8.7,0.07,0.32,0.34,105.94
G000620__87755,16-Feb-2021,06:13:36,0.27,23.9,62.3,4.3,3.0,1.41,4.3,0.06,0.23,0.26,95.89
G000720__87756,16-Feb-2021,06:23:11,0.26,23.9,61.5,4.9,2.9,1.48,4.5,0.06,0.23,0.24,93.73
G000721__87757,16-Feb-2021,06:56:24,0.31,22.0,63.8,4.3,2.8,1.48,4.7,0.06,0.26,0.29,95.65
G000722__87760,16-Feb-2021,08:04:08,0.52,40.3,34.1,7.2,4.1,2.66,10.4,0.07,0.26,0.38,106.81
PADRAO__87763,16-Feb-2021,08:24:10,0.67,39.3,37.1,6.9,5.5,1.99,7.9,0.09,0.32,0.31,105.89
G000724__87765,16-Feb-2021,11:29:59,0.95,42.1,30.4,8.7,4.0,2.85,10.2,0.08,0.24,0.42,109.81
G000726__87766,16-Feb-2021,12:06:00,0.60,45.3,26.9,5.0,7.0,4.28,9.8,0.08,0.28,0.64,115.63
G000728__87771,16-Feb-2021,14:28:25,0.55,43.1,31.6,9.3,3.9,3.13,7.6,0.08,0.21,0.52,120.65
G000729__87774,16-Feb-2021,15:36:03,0.76,41.4,32.6,7.5,4.9,3.51,8.5,0.08,0.20,0.55,107.97
PADRAO__87777,16-Feb-2021,16:11:23,0.71,39.4,37.1,7.0,5.4,1.95,7.7,0.08,0.33,0.31,106.68
G000731__87779,16-Feb-2021,17:22:20,0.44,41.4,37.2,7.6,4.0,3.42,5.1,0.10,0.22,0.49,102.01
G000732__87782,16-Feb-2021,18:37:13,0.61,41.7,32.5,8.0,3.9,3.52,9.0,0.09,0.21,0.48,104.31
G000733__87786,16-Feb-2021,19:34:43,0.49,41.3,33.1,9.3,4.2,3.34,7.4,0.08,0.26,0.50,104.31
G000734__87788,16-Feb-2021,20:24:56,0.48,39.6,32.4,9.6,4.0,3.40,9.8,0.07,0.21,0.48,103.00
G000735__87792,16-Feb-2021,21:47:48,0.47,42.1,28.8,11.1,4.2,3.62,8.9,0.08,0.27,0.48,102.22
G000736__87795,16-Feb-2021,23:20:20,0.46,45.7,26.1,9.2,4.4,3.89,9.3,0.08,0.31,0.48,106.18
2113__87798,17-Feb-2021,00:01:28,0.73,39.3,37.1,6.7,5.4,2.13,7.9,0.09,0.33,0.32,105.99
G000738__87801,17-Feb-2021,01:12:32,0.53,47.2,23.1,10.9,4.8,3.56,9.1,0.08,0.34,0.53,103.09
G000739__87802,17-Feb-2021,02:07:33,0.55,42.4,29.7,9.5,4.9,3.64,8.3,0.09,0.30,0.53,103.15
__87807,17-Feb-2021,03:26:17,0.63,48.1,22.1,7.8,4.9,4.76,10.7,0.09,0.32,0.58,108.25
G0007XX__87809,17-Feb-2021,05:26:38,0.65,47.0,21.7,8.1,4.7,5.07,11.8,0.09,0.33,0.58,108.92
G000742__87811,17-Feb-2021,05:51:24,0.48,41.6,31.1,10.8,4.4,3.54,7.2,0.09,0.29,0.49,103.75
