SampleName,Date,Time,SiO2,Al2O3,CaO,MgO,Mn,FeO,P,S,TiO2,K2O,Intensity Scale
----------,----,----,%,%,%,%,%,%,%,%,%,%,%
G000436__86892,30-Jan-2021,11:05:28,0.69,25.8,57.5,4.5,2.0,1.85,7.0,0.06,0.24,0.30,97.02
2113__86893,30-Jan-2021,11:17:23,0.71,39.2,37.0,7.0,5.4,2.03,7.9,0.08,0.31,0.29,105.32
G000437__86895,30-Jan-2021,12:36:58,0.77,27.5,50.2,8.0,2.4,2.30,8.1,0.05,0.30,0.35,97.58
G000438__86897,30-Jan-2021,13:52:05,0.89,35.3,37.2,6.1,3.3,3.41,13.1,0.06,0.30,0.43,101.83
PADRAO__86901,30-Jan-2021,16:35:51,0.64,39.3,37.0,7.1,5.4,1.98,7.9,0.08,0.31,0.28,104.68
G000441__86910,30-Jan-2021,20:50:15,0.72,45.1,24.5,8.7,4.7,4.08,11.3,0.08,0.37,0.48,102.93
G000442__86911,30-Jan-2021,20:54:42,0.63,44.8,27.3,10.0,3.6,3.91,8.9,0.09,0.28,0.48,103.44
G000443__86912,30-Jan-2021,20:59:14,1.10,44.3,24.1,10.7,4.6,4.04,10.0,0.08,0.30,0.67,103.68
G000444__86913,30-Jan-2021,21:44:28,0.82,40.7,29.7,10.3,4.3,3.61,9.5,0.07,0.41,0.50,102.07
PADRAO__86920,30-Jan-2021,23:58:02,0.64,39.0,36.7,7.6,5.4,2.02,7.9,0.09,0.36,0.29,104.46
G000447__86922,31-Jan-2021,02:22:00,0.81,43.5,25.5,11.5,4.8,3.93,9.0,0.07,0.38,0.51,101.99
G000448__86924,31-Jan-2021,03:38:11,0.71,43.3,24.7,11.8,4.8,3.60,10.3,0.06,0.35,0.49,101.63
G000449__86927,31-Jan-2021,04:49:59,0.78,44.4,23.4,13.8,4.0,3.75,8.9,0.07,0.35,0.44,101.16
G000450__86929,31-Jan-2021,06:22:20,1.01,43.4,22.7,12.8,4.7,3.99,10.5,0.06,0.40,0.49,100.96
G000451__86931,31-Jan-2021,07:26:28,0.77,44.2,24.0,13.0,4.3,3.59,9.3,0.06,0.37,0.44,102.77
2113__86934,31-Jan-2021,08:09:25,0.69,39.3,36.8,7.3,5.4,2.00,7.8,0.08,0.35,0.30,105.32
G0004XX__86936,31-Jan-2021,09:01:16,0.86,37.9,32.6,10.5,4.9,3.83,8.6,0.06,0.34,0.46,100.97
G000457__86945,31-Jan-2021,13:40:23,0.81,48.4,17.4,11.6,4.0,4.95,11.9,0.08,0.40,0.51,104.70
PADRAO__86951,31-Jan-2021,16:09:24,14.40,35.4,1.5,7.9,0.8,0.82,38.2,0.10,0.83,0.09,123.44
G000460__86958,31-Jan-2021,21:07:31,0.77,45.2,26.3,10.1,3.7,3.70,9.4,0.09,0.29,0.55,105.80
G000462__86963,31-Jan-2021,22:27:45,0.80,42.1,29.3,9.8,3.3,3.43,10.5,0.07,0.27,0.44,102.47
PADRAO__86968,01-Feb-2021,00:20:40,0.70,39.3,37.0,7.2,5.3,1.97,7.9,0.08,0.30,0.26,105.37
G000464__86970,01-Feb-2021,00:59:18,0.91,44.3,24.4,9.9,4.3,4.14,11.2,0.07,0.37,0.44,103.65
G000465__86971,01-Feb-2021,02:07:50,0.75,40.4,32.7,10.0,3.3,3.14,8.9,0.06,0.32,0.38,102.49
G000467__86974,01-Feb-2021,04:25:30,0.75,42.0,30.3,9.5,3.7,3.50,9.4,0.07,0.34,0.43,104.33
G000469__86978,01-Feb-2021,07:10:35,1.22,46.1,24.1,10.0,3.9,3.62,10.1,0.07,0.37,0.49,103.83
2113__86983,01-Feb-2021,08:38:51,0.66,39.4,37.0,7.0,5.4,2.02,7.9,0.08,0.31,0.29,105.05
AF01__87005,01-Feb-2021,13:19:05,1.06,32.0,44.8,6.3,2.8,1.90,10.3,0.07,0.28,0.44,102.28
PADRAO__87024,01-Feb-2021,16:35:21,0.62,39.4,36.9,7.1,5.4,1.99,7.9,0.09,0.31,0.29,105.21
BRITA  CONS  CIVIL__87026,01-Feb-2021,17:23:17,0.87,54.0,0.8,36.4,0.1,1.33,6.4,0.05,0.04,0.00,153.34
G000475__87027,01-Feb-2021,18:24:52,0.91,39.8,21.4,9.4,4.0,3.52,19.2,0.05,0.77,0.94,106.05
PADRAO__87028,01-Feb-2021,18:32:57,0.67,39.3,36.9,7.3,5.4,1.99,7.7,0.08,0.31,0.29,105.53
